area	reference_surface	qt_surface	status	acceptance_evidence
SETUP	GCSViews/ConfigurationView/ConfigGpsInjectView.axaml	src/ui/configuration/ConfigGpsInjectView.*;src/ui/configuration/ConfigGpsInjectViewModel.*;src/comm/GpsCorrectionSource.*;src/comm/Rtcm3Parser.*;src/comm/GpsRtcmPacketizer.*;src/uas/UASInterface.h;src/uas/UAS.*;tests/test_gpscorrectioncore.cpp;tests/test_configgpsinjectviewmodel.cpp	partial	MP10 surface, always-visible Setup route, serial/NTRIP v1/v2/TLS/GGA source, bounded HTTP chunk decoding, sourcetable rejection, CRC-valid RTCM including strict 1006 framing, freshness/base-position persistence, result-gated statistics and one-link MAVLink GPS_RTCM_DATA injection are implemented and covered in the Qt/CMake test suite; UBlox/Septentrio receiver drivers, Unicore auto-config, live hardware/caster evidence and reference screenshot diff remain
SETUP	GCSViews/ConfigurationView/ConfigHWCANView.axaml	src/ui/configuration/ConfigHWCANView.*;src/ui/configuration/ConfigHWCANViewModel.*;src/ui/configuration/SetupView.cpp;tests/test_confighwcanview.cpp	in-progress	Exact MP10 legacy BRD_CAN_ENABLE and enumeration/storage command surface plus adaptive sparse CAN_Pn driver/bitrate/FD-bitrate and CAN_Dn protocol fields, metadata reboot notices, strict parameter echoes, serialized ACK/unknown-timeout handling, armed-state safety and guarded one-shot factory reset are implemented; live-firmware command acceptance, vehicle evidence and reference screenshot diff remain
SETUP	GCSViews/ConfigurationView/ConfigDroneCanView.axaml	src/ui/configuration/ConfigDroneCanView.*;src/ui/configuration/ConfigDroneCanViewModel.*;src/comm/DroneCanFrameCodec.*;src/comm/DroneCanForwardingBroker.*;src/comm/DroneCanMavlinkTransport.*;src/comm/DroneCanGetNodeInfoClient.*;src/comm/DroneCanGetSetClient.*;src/ui/configuration/SetupView.cpp;tests/test_configdronecanview.cpp;tests/test_dronecanforwardingbroker.cpp;tests/test_dronecangetnodeinfo.cpp;tests/test_dronecangetset.cpp	partial	MP10 discovery surface, always-visible Setup route, application-scoped pinned MAVLink CAN1/CAN2 forwarding with lease-based keepalive/stop, strict target-filtered classic/CAN-FD transport, DroneCAN v0 NodeStatus discovery/expiry, GetNodeInfo identity decoding (name, HW/SW, UID and image CRC), and strict read-only GetSet enumeration by index until an empty response with value/minimum/maximum/default metadata are implemented; parameter writes, file-server firmware update, direct SLCAN, multicast, user filters/logging, allocation and inspector remain
SETUP	Views/DroneCANInspectorView.axaml		not-started	Message tree, subscribers, field graphs and safe handler lifetime match
SETUP	GCSViews/ConfigurationView/ConfigSerialView.axaml	src/ui/configuration/ConfigSerialView.{h,cpp}; src/ui/configuration/ConfigSerialViewModel.{h,cpp}	in-progress	Qt view/model and unit tests cover SERIALn discovery, metadata enums/bitmask, RTS/CTS labels, dependency writes, ACK status and MAVLink-port warnings; visual cross-platform and live-vehicle validation remain
SETUP	GCSViews/ConfigurationView/ConfigHWBTView.axaml	src/ui/configuration/ConfigHWBTView.*;src/ui/configuration/ConfigHWBTViewModel.*;src/ui/configuration/ConfigHWBTSerialService.*;tests/test_confighwbtview.cpp	in-progress	MP10 HC-05/HC-06 serial AT UI, exact dual-dialect payloads/probe order, cancellable worker, port collision checks, secret-safe logging and Setup ordering are implemented; pseudo-terminal/device, screenshot and cross-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigHWESP8266View.axaml	src/ui/configuration/ConfigHWESP8266View.*;src/ui/configuration/ConfigHWESP8266ViewModel.*;src/ui/configuration/Esp8266Settings.*;src/comm/Esp8266ParameterClient.*;src/ui/configuration/SetupView.cpp;tests/test_esp8266settings.cpp;tests/test_esp8266parameterclient.cpp;tests/test_confighwesp8266view.cpp	in-progress	The MP10 route, recognizable control inventory/defaults, component-240 load, exact 18-parameter decode, exact 22-write save cadence, storage/reboot, reset-to-defaults refresh, immutable same-link/system target lease, timeout/retry/cancellation/reentrancy and shutdown ownership are implemented and tested; displayEsp profile gating, live UDP-bridge hardware, screenshots and native Windows/macOS evidence remain
SETUP	GCSViews/ConfigurationView/ConfigHWIDView.axaml	src/ui/configuration/ConfigHWIDView.*;src/ui/configuration/ConfigHWIDViewModel.*;src/ui/configuration/DeveloperToolParsers.*;src/ui/configuration/SetupView.cpp;tests/test_confighwidview.cpp	in-progress	The connected SETUP route now filters one component's committed snapshot by the MP10 _ID/_DEVID rules, excludes _IDX/FRSKY, decodes signed MAVn_DEVID values with the ArduPilot bus/device tables and UAVCAN SENSOR_ID suffix, and presents the exact six-column read-only sortable table with Refresh; full-suite coverage passes while live hardware, copy/export details, screenshot diff and native Windows/macOS evidence remain
SETUP	GCSViews/ConfigurationView/ConfigCubeIDView.axaml		not-started	Target-aware CubeID transmitter firmware update, stock/custom upload, cancellation and SERIAL_PASSTIMO/SERIAL_PASS2 editing match; this is distinct from the HW ID inventory and currently blocked by missing CubePilot 50004/50005 messages in the generated dialect
SETUP	GCSViews/ConfigurationView/ConfigHWOSDView.axaml	src/ui/configuration/ConfigHWOSDView.*;src/ui/configuration/ConfigHWOSDViewModel.*;src/ui/configuration/SetupView.*;tests/test_confighwosdview.cpp	in-progress	The dedicated MP10-named legacy MinimOSD helper matches the title, intro, button/status and note surface, submits one deterministic 24-parameter SR0/SR1/SR3 2 Hz batch through the exact-target parameter service, reports missing/partial/failure/cancel/timeout states and rejects stale-target results; DisplayView profile gating, reference/Qt screenshot-diff and live-vehicle evidence remain
CONFIG	GCSViews/ConfigurationView/ConfigOSDView.axaml	src/ui/configuration/ConfigOSDView.*;src/ui/configuration/ConfigOSDViewModel.*;src/ui/configuration/ConfigOSDLayoutCanvas.*;src/ui/configuration/ConfigView.*;tests/test_configosdview.cpp;tests/test_configosdviewmodel.cpp;tests/test_configosdlayoutcanvas.cpp	in-progress	The dedicated CONFIG route opens a non-empty phase-one screen/item editor with complete EN/X/Y triplet discovery, deterministic staged edits, enable/disable all, numeric coordinates, a draggable 30x16 canvas, guarded Refresh/Discard and exact-target result-aware batch writes. Identical refreshes preserve staged edits and item-cancel/timeout cannot unlock while writes remain queued; unit/integration tests and a real-X11 production-route render with a local UDP target pass. Settings/global parameters, glyph atlas, exact SD/HD geometry, copy/paste/clear, auto-write, tuning slots, DisplayView gating, reference screenshot diff and physical-vehicle evidence remain
SETUP	GCSViews/ConfigurationView/ConfigADSBView.axaml	src/ui/configuration/ConfigADSBView.*;src/ui/configuration/ConfigADSBViewModel.*;src/comm/AdsbIdentificationClient.*;src/ui/configuration/SetupView.cpp;tests/test_configadsbview.cpp;tests/test_adsbidentificationclient.cpp	in-progress	The connected route filters and edits committed ADSB_/AVD_ parameters with metadata enums/bitmasks, description-aware search and deterministic ENABLE-last batch writes; flight identification and aircraft registration use MP10's double-send/readback cadence through an immutable exact link/system/component lease with cancellation, strict replies and deletion-safe clear confirmation. Offline/unit, full-suite and real-X11 rendering/shutdown pass; live uAvionix, exact single-list visual parity, profile gating and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigSecureView.axaml		not-started	SECURE_COMMAND bootloader public-key slot management, session/signing key lifecycle, status and removal match
SETUP	GCSViews/ConfigurationView/ConfigSecureApView.axaml		not-started	Ed25519 key generation/loading plus signed bootloader (.bin) and firmware (.apj) file workflows match
SETUP	GCSViews/ConfigurationView/ConfigTerminalView.axaml	src/ui/configuration/TerminalConsole.*;src/ui/configuration/SetupView.cpp	partial	The existing cross-platform serial console is now routed in the exact MP10 Advanced order and retains port selection, baud rate, local echo, reset, log-console and disconnect lifecycle; it still carries the older Qt form geometry and needs hardware plus reference-screenshot validation
SETUP	GCSViews/ConfigurationView/MavFTPUIView.axaml	src/ui/configuration/MavFTPUIView.*;src/comm/MavFtpProtocol.*;src/comm/MavFtpService.*;src/comm/LinkManager.*;src/ui/configuration/SetupView.*;tests/test_mavftpprotocol.cpp;tests/test_mavftpservice.cpp;tests/test_mavftpuiview.cpp	in-progress	The shared connected SETUP route provides the MP10 remote tree/table, lazy `/` and `@SYS` listing, upload/download, delete/mkdir, status/progress and explicit cancellation. One application-owned service pins the exact physical-link target, bounds retries and payloads, rejects mismatched responses, verifies upload CRC and cancels on link/target changes. Unit coverage and a real-X11 production-route render from both SETUP and CONFIG pass; 64 MiB buffering, sequential reads, capability gating, live MAVFTP-server transactions and reference screenshot diff remain
SETUP	GCSViews/ConfigurationView/ConfigOnboardReplView.axaml		not-started	Onboard REPL transport, history, upload and cancellation match
SETUP	GCSViews/ConfigurationView/ConfigScriptReplView.axaml		not-started	Script REPL/editor workflow matches
SETUP	Views/ActionPageView.axaml	src/ui/configuration/ActionPageView.*;src/ui/configuration/ConfigAdvancedView.*;src/ui/configuration/SetupView.cpp;src/ui/MainWindow.*;tests/test_configadvancedview.cpp	in-progress	The common title/instructions/wrapping action grid/result log and exact 16-action Advanced inventory are routed in SETUP; MAVLink Inspector, Map Tile Cache and Proximity reuse working shared application actions, the inspector is a modeless non-dock window, and 13 unported workflows remain visibly disabled with reasons; the 83-test suite and real-X11 inspector close/reopen/application-shutdown smoke pass while reference screenshot and the remaining workflows remain
SETUP	Views/ActionPageView.axaml;ViewModels/GCSViews/ConfigurationView/ConfigDeveloperToolsViewModel.cs;Services/DeveloperToolParsers.cs	src/ui/configuration/ActionPageView.*;src/ui/configuration/ConfigDeveloperToolsView.*;src/ui/configuration/DeveloperToolParsers.*;src/ui/configuration/SetupView.cpp;src/ui/DeviceOperationsWindow.*;tests/test_configdevelopertoolsview.cpp;tests/test_developertoolparsers.cpp;tests/test_deviceoperationswindow.cpp	in-progress	The exact 32-action Developer Tools inventory is routed in MP10 order; Decode MAVLink Packet, Decode Hardware ID and the shared MAVLink Device Operations window are working, so 3 of 32 actions have truthful outcomes while the other 29 guarded file/vehicle workflows remain disabled. Parser, shared-action and Device Operations tests plus real-X11 SETUP route evidence pass; the remaining guarded workflows and reference/native visual evidence remain
SETUP	GCSViews/Setup/SikRadioView.axaml	src/ui/configuration/Radio3DRConfig.*;src/ui/configuration/RadioFlashWizard.*	partial	Local/remote radio parameters, copy, upload, reset and firmware match
SETUP	GCSViews/Setup/NvModemView.axaml		not-started	NV4/NV5 discovery, route isolation, presets, keys, compare/save/reboot and diagnostics match
SETUP	Views/OpenDroneIdView.axaml		not-started	Open Drone ID transport, identity/location/operator fields, validation and lifecycle match
SETUP	GCSViews/ConfigurationView/ConfigJoystickView.axaml	src/ui/JoystickWidget.*	partial	Device/axis/button mapping, calibration, enable and vehicle output match
SETUP	GCSViews/ConfigurationView/ConfigAntennaTrackerView.axaml	src/comm/RadioStatusMonitor.*;tests/test_radiostatusmonitor.cpp;src/ui/configuration/AntennaTrackerOutputs.*;src/ui/configuration/AntennaTrackerGeometry.*;src/ui/configuration/AntennaTrackerSerialService.*;tests/test_antennatrackeroutputs.cpp;tests/test_antennatrackergeometry.cpp;tests/test_antennatrackerserialservice.cpp;src/ui/configuration/AntennaTrackerUIViewModel.*;src/ui/configuration/AntennaTrackerTelemetrySource.*;src/ui/configuration/UasAntennaTrackerTelemetrySource.*;src/ui/configuration/AntennaTrackerAxisPanel.*;src/ui/configuration/ConfigAntennaTrackerView.*;src/ui/configuration/SetupView.cpp;tests/test_antennatrackeruiviewmodel.cpp;tests/test_antennatrackerviews.cpp	in-progress	The MP10 Maestro, ArduTracker and DegreeTracker factory/protocol layer is implemented with exact setup/target byte and text formats, trim/reverse/clamp/wrap/180-degree flip arithmetic, configuration validation and injectable writes. Pure pointing geometry retains MP-compatible AZToMAV/ELToMAV/DistToHome behavior while explicitly covering invalid input, dateline crossing, poles and vertically coincident positions. The thread-confined dedicated QSerialPort service enforces 8N1/no-flow-control, validates port ownership through an injected guard, drains setup and initial-center commands in order, bounds output with latest-target-wins backpressure, times out stalled writes and closes safely across cancellation, unplug, reconnect, synchronous transport callbacks and worker-thread use; the shared MP10 AntennaTrackerUIViewModel, the ConfigAntennaTrackerView route after ESP8266 Setup, MP10 texts/defaults/validation order, settings round trip, live trim/reverse, connect/disconnect gating and the cancellable SiK trim sweep are implemented with view-model and view tests and verified on real X11 under Xvfb (route, page render, real QSerialPort connect to a local UART, clean shutdown while connected). LinkManager now owns a structured RADIO_STATUS/legacy RADIO monitor keyed by physical linkId; it preserves all raw fields and feeds the current exact target through MP10's read-driven local-SNR formula, 50 percent EMA and one-second hold. Profile gating, hardware evidence and the old AntennaTrackerConfig stub removal remain
SETUP	GCSViews/ConfigurationView/ConfigAntennaTrackerParamView.axaml		not-started	Tracker-specific parameter page matches; existing AntennaTrackerConfig is a UI-only stub
SETUP	Views/AntennaTrackerUIView.axaml	src/comm/RadioStatusMonitor.*;tests/test_radiostatusmonitor.cpp;src/ui/configuration/AntennaTrackerUIView.*;src/ui/configuration/AntennaTrackerUIViewModel.*;src/ui/configuration/AntennaTrackerTelemetrySource.*;src/ui/configuration/UasAntennaTrackerTelemetrySource.*;src/ui/configuration/AntennaTrackerAxisPanel.*;src/ui/configuration/AntennaTrackerGeometry.*;src/ui/configuration/AntennaTrackerSerialService.*;src/ui/configuration/SetupView.cpp;tests/test_antennatrackeruiviewmodel.cpp;tests/test_antennatrackerviews.cpp	in-progress	The MP10 Live page (Vehicle/Commanded Az/El read-outs, Manual Slew with Home / Center and azimuth/elevation sliders, the shared Pan/Tilt boxes, "Find Trim Pan (SiK Radio)") shares one view model with the Serial page; the 10 Hz point-at-vehicle loop uses AntennaTrackerGeometry AZToMAV/ELToMAV over the active UAS position and the vehicle home (explicit Tracker Home state exists but has no PLAN action yet), manual mode overrides it and Home / Center keeps MP10 semantics. Link-scoped RADIO_STATUS/legacy RADIO telemetry now supplies the current exact target's MP10-compatible read-driven local SNR to the trim sweep without collapsing duplicate sysids. Verified with unit tests and on real X11 under Xvfb against a local SITL (Vehicle Az updated live, real serial connect, clean shutdown). PLAN Tracker Home, profile gating and hardware/cross-platform evidence remain
CONFIG	GCSViews/ConfigurationView/ConfigTradHeliView.axaml	src/ui/configuration/ConfigTradHeliView.*;src/ui/configuration/ConfigTradHeliViewModel.*;src/ui/configuration/HeliVisualization.*;src/ui/configuration/HeliCollectivePlot.*;src/ui/configuration/ConfigView.*;src/ui/configuration/ConfigRouteProfile.*;tests/test_configtradheliview.cpp;tests/test_configtradheliviewmodel.cpp;tests/test_helivisualization.cpp;tests/test_helicollectiveplot.cpp;tests/test_configrouteprofile.cpp	in-progress	The exact legacy H_SWASH_TYPE-gated route is a non-empty native page with 43 ordered logical fields and reference aliases, CCPM/H1, all six visible H_SV_MAN actions, MP10 curve math, RC3/RC4 inputs, servo-output-6 cursor, three position readouts and manual-only range capture. Writes require a disarmed immutable exact target and complete only through their exact batch; a conservative manual-override latch survives lost ACKs and raw echoes until an exact successful zero batch. Non-zero modes use a default-Cancel blade-removal confirmation, unsupported Test mode stays disabled, and deactivation attempts H_SV_MAN=0 with an operator-visible uncertainty warning. Unit/full-suite and isolated UDP real-X11 production-route evidence pass; live legacy-heli hardware, reference screenshot diff and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigTradHeli4View.axaml	src/ui/configuration/ConfigTradHeli4View.*;src/ui/configuration/ConfigTradHeli4ViewModel.*;src/ui/configuration/SetupView.*;tests/test_configtradheli4view.cpp;tests/test_configtradheli4viewmodel.cpp	in-progress	The separate current-heli SETUP route is first under Mandatory Hardware and renders all five MP10 sections with 83 exact fields: eight fixed SERVO1..8 rows, 13 swashplate, 12 rotor-speed, nine governor and nine miscellaneous bindings. Metadata plus guarded current-heli enum fallbacks supply editors/ranges, missing fields remain visible disabled as n/a, non-zero H_SV_MAN requires a disarmed vehicle and default-Cancel blade warning, and immutable exact-target writes finish only by their owned terminal batch. Deactivation requests H_SV_MAN=0 and a conservative uncertainty latch clears only on that exact successful batch. Qt gates this 4.0+ page on H_SW_TYPE instead of MP10's stale H_SWASH_TYPE check; unit/full-suite and isolated UDP real-X11 production-route evidence pass, while reference screenshot diff, physical live-heli writes and native-platform evidence remain
CONFIG	Views/ConfigView.axaml	src/ui/configuration/ConfigView.*;src/ui/configuration/ConfigRouteProfile.*;src/ui/configuration/ConfigFlightModesView.*;src/ui/configuration/ConfigTradHeliView.*;src/ui/configuration/ConfigOSDView.*;src/ui/configuration/MavFTPUIView.*;src/ui/BackstageView.*;src/comm/MavFtpService.*;src/ui/MainWindow.cc;tests/test_configrouteprofile.cpp;tests/test_configflightmodesview.cpp;tests/test_configtradheliview.cpp;tests/test_backstageview.cpp;tests/test_configosdview.cpp;tests/test_mavftpuiview.cpp	partial	The active truthful surface registers all 15 concrete Qt factories in tested MP10 order. Native Flight Modes, native legacy-Heli Setup, shared MAVFtp and dedicated Onboard OSD open non-empty workflows; Heli no longer receives Copter Basic, H_SW_TYPE-only helicopters do not receive the incompatible binary legacy editor, VTOL receives Plane Basic, boats receive Rover Basic, and retained tuning/GeoFence/Planner routes carry Legacy badges. Reference versus actionable offline/advanced/Copter/legacy-Heli/modern-Heli/Plane/Rover/profile matrices are tested. Isolated real-X11 production-route evidence exists for Heli, MAVFtp, OSD and Flight Modes; physical Heli/Flight Modes hardware, DisplayView persistence and Plane QP Extended remain, while the shared reset invariant keeps one concrete visible page selected
CONFIG	GCSViews/ConfigurationView/ConfigFlightModesView.axaml	src/ui/configuration/ConfigFlightModesView.*;src/ui/configuration/ConfigFlightModesViewModel.*;src/ui/configuration/ConfigFlightModesPageFactory.*;src/ui/configuration/FlightModeTelemetryMonitor.*;src/ui/configuration/ConfigView.*;tests/test_configflightmodesview.cpp;tests/test_configflightmodesviewmodel.cpp;tests/test_flightmodetelemetrymonitor.cpp	in-progress	The first CONFIG route is now the full non-empty native six-row surface with Current Mode, numeric Current PWM, always-visible Copter Simple/Super Simple columns and the reference help URL. It fixes legacy Rover channel, hard-coded Copter RC5, disabled sixth-slot and dirty-comparison defects; PX4 slot enums cannot be confused with packed heartbeat custom modes. Telemetry and writes are pinned to one physical-link target, writes are disarmed-only, ordinary refreshes preserve staged edits and partial ordered batches reconcile before edits resume. Unit/full-suite and isolated exact-target production-route X11 evidence through this CONFIG route pass; physical-vehicle, reference screenshot and native-platform evidence remain
CONFIG	Views/RawParamsView.axaml;GCSViews/ConfigurationView/ConfigRawParams.*	src/ui/configuration/ConfigRawParams.*;src/comm/ParameterService.*;src/core/parameters/ParameterStore.*;src/uas/QGCUASParamManager.*;tests/test_configrawparams.cpp;tests/test_parameterservice.cpp	in-progress	The active Full Parameter List route now uses the native Qt ConfigRawParams page: the reference 180 px prefix tree, 18 px collapse control, seven recognizable columns, 122 px action rail, natural/favorite ordering, literal debounced search, Modified intersection, range/options text, arithmetic staging, typed/read-only/range checks, metadata-driven enum and signed bitmask editors, component-scoped favorites, bounded two-column param/parm codec, atomic save, selectable compare and serialized batch write lifecycle are implemented. Exact committed snapshots, generation-only target invalidation, metadata/schema revalidation, component-switch cleanup, staged-set revision guards across modal confirmation, explicit reporting of imported values rejected by wire type, owner-correlated batches, disconnect/shortcut guards, activation-time encoding/no-op revalidation, 700-ms bounded retries, exact-only ACK, cancellation, unknown-bit preservation, metadata-revision-scoped explicit range approvals, stale-editor invalidation, deletion-safe modal/file/bitmask editors and safe alphabetical `*ENABLE`-last ordering are tested. Default/None Default source, remote presets, Commit/Reset, reference screenshot diff and live-vehicle evidence remain
CONFIG	Views/ParamCompareWindow.cs	src/ui/configuration/ParamCompareDialog.*	partial	Typed comparison, missing parameters, selective apply, defaults/file/vehicle sources and warnings match
CONFIG	GCSViews/ConfigurationView/ConfigFriendlyParamsView.axaml	src/ui/configuration/ConfigFriendlyParamsView.*;src/ui/configuration/ConfigFriendlyParamsViewModel.*;tests/test_configfriendlyparamsview.cpp	partial	The active metadata-backed Standard Params page has search, favourites, typed editors, refresh/write and explicit empty state; MP10 profile gating, screenshot and native-platform evidence remain
CONFIG	GCSViews/ConfigurationView/ConfigFriendlyParamsView.axaml (advanced)	src/ui/configuration/ConfigFriendlyParamsView.*;src/ui/configuration/ConfigFriendlyParamsViewModel.*;tests/test_configfriendlyparamsview.cpp	partial	The active metadata-backed Advanced Params page has search, favourites, typed editors and staged writes; MP10 profile gating, screenshot and native-platform evidence remain
CONFIG	GCSViews/ConfigurationView/ConfigBasicTuningView.axaml	src/ui/configuration/BasicPidConfig.*;src/ui/configuration/ConfigRouteProfile.*;tests/test_configrouteprofile.cpp	partial	The useful legacy aggregated Copter tuning controls remain visibly marked Legacy and are now excluded from Heli by the shared H_SWASH_TYPE/heartbeat-aware route policy; current parameter coverage and native replacement remain
CONFIG	GCSViews/ConfigurationView/ConfigExtendedTuningView.axaml	src/ui/configuration/CopterPidConfig.*	partial	Legacy Copter Extended Tuning is active only for Qt multirotors; MP10 Plane QP Extended Tuning, profile gating and current parameter coverage are missing
CONFIG	GCSViews/ConfigurationView/ConfigArduplaneView.axaml	src/ui/configuration/ArduPlanePidConfig.*;src/ui/configuration/ConfigRouteProfile.*	partial	Useful legacy Plane tuning remains visibly marked and the shared firmware-family policy now includes VTOL/QuadPlane; current parameter coverage and visual parity remain
CONFIG	GCSViews/ConfigurationView/ConfigArduroverView.axaml	src/ui/configuration/ArduRoverPidConfig.*;src/ui/configuration/ConfigRouteProfile.*	partial	Useful legacy Rover tuning remains visibly marked and the shared firmware-family policy now includes surface boats; current parameter coverage and visual parity remain
CONFIG	GCSViews/ConfigurationView/ConfigAC_FenceView.axaml	src/ui/configuration/GeoFenceConfig.*	partial	Legacy Copter-only fence controls exist, but MP10 profile gating differs and Qt lacks FENCE_ALT_MIN plus the per-field status presentation while retaining obsolete mappings such as RTL_ALT_FINAL
SETUP	GCSViews/ConfigurationView/ConfigFFTView.axaml		not-started	FFT setup, live/offline analysis and filter suggestion match
CONFIG	Views/ConfigFFTWindow.cs		not-started	FFT analysis window interaction and export match
SETUP	GCSViews/ConfigurationView/ConfigDefaultSettingsView.axaml	src/ui/configuration/ConfigDefaultSettingsView.*;src/ui/configuration/FrameDefaultCatalogService.*;src/ui/configuration/ConfigRawParams.*;src/ui/configuration/SetupView.cpp;tests/test_configdefaultsettingsview.cpp;tests/test_framedefaultcatalogservice.cpp;tests/test_configrawparams.cpp	in-progress	The Copter-only route now discovers the official frame-default catalog recursively, enforces bounded timeout/body/cache-path safety, downloads through operation-scoped IDs, compares and stages into ConfigRawParams without implicit writes, and rejects stale target revisions across modal interaction; cross-consumer cancellation, cache/symlink guards, destruction, staging and the complete 83-test suite pass, while live-network/vehicle, screenshot and native Windows/macOS evidence remain
SETUP	GCSViews/ConfigurationView/ConfigInitialParamsView.axaml	src/ui/configuration/ConfigInitialParamsView.{h,cpp}; src/ui/configuration/ConfigInitialParamsViewModel.{h,cpp}	in-progress	Qt calculator covers Copter/Plane namespaces, chemistry, T-Motor/Suggested candidates, safe validation and ACK-gated selected live writes; visual cross-platform and live-vehicle validation remain
CONFIG	GCSViews/ConfigurationView/ConfigPlannerView.axaml	src/ui/configuration/ConfigPlannerView.*;src/ui/configuration/ConfigPlannerViewModel.*;src/ui/configuration/ConfigPlannerViewIntegration.*;src/ui/QGCSettingsWidget.*;src/ui/configuration/DisplayViewProfile.*;src/ui/configuration/PlannerStartupUdpOptions.*;src/comm/LinkManager.*;src/ui/MainWindow.*;tests/test_configplannerview.cpp;tests/test_displayviewprofile.cpp;tests/test_plannerstartupudpoptions.cpp	partial	The active native page renders the exact nine MP10 sections in order and every section has working content or an explicit unavailable note. Alt/Dist units, shared Basic/Advanced/Custom DisplayView layout, exact dual Startup UDP listeners, map backend, useful audio/heartbeat/logging/directories/beta/proxy controls and a bounded Legacy dialog work through one shared application model; the 64-control audit still leaves language/speed/HUD/severity, full speech/vario, safe shortcuts, exact telemetry/identity, overlays/cache/external ADS-B and advanced policies to port. Unit/full-suite and real-X11 CONFIG navigation/shutdown evidence pass
CONFIG	GCSViews/ConfigurationView/ConfigPlannerAdvView.axaml	src/ui/configuration/ConfigPlannerAdvView.{h,cpp}; src/ui/configuration/ConfigPlannerAdvViewModel.{h,cpp}; tests/test_configplanneradvview.cpp	in-progress	Qt advanced-only route provides the reference read-only sortable snapshot of the current per-user settings profile with exact title, Refresh and 2:3 columns; reference screenshots, cross-platform and DisplayView profile gating remain
SETUP	GCSViews/ConfigurationView/ConfigElevationSourcesView.axaml	src/ui/configuration/ConfigElevationSourcesView.{h,cpp};src/ui/configuration/ConfigElevationSourcesViewModel.{h,cpp};src/ui/configuration/ElevationSourceService.{h,cpp};src/ui/map/NativeGdalMapService.*;tests/test_configelevationsourcesview.cpp;tests/test_maptilesourcefactory.cpp	in-progress	Qt advanced/offline route, exact local-directory UI, GDALImageDir persistence, deterministic recursive GeoTIFF/DTED discovery, cancellable app-start scan, runtime GDAL C-ABI catalog, cache-safe Clear and shared-cache GDAL Custom tile rendering in Flight Planner are covered; GDAL-free managed DEM parsing, screenshots and cross-platform validation remain
SETUP	GCSViews/ConfigurationView/ConfigMavCommandView.axaml	src/ui/configuration/ConfigMavCommandView.*;src/ui/configuration/ConfigMavCommandViewModel.*;src/ui/flightplanner/MissionCommandCatalog.*;src/ui/flightplanner/WpRow.*;src/ui/flightplanner/FlightPlannerMissionModel.*;src/ui/flightplanner/FlightPlannerWaypointPanel.*;src/qml/ApmQmlApi.*;tests/test_missioncommandcatalog.cpp;tests/test_configmavcommandview.cpp;tests/test_flightplannermissionmodel.cpp;tests/test_flightplannerwaypointpanel.cpp;tests/test_qmlpluginmanager.cpp	in-progress	Qt advanced/offline staged editor matches the MP10 ID, Name, P1-P7 table and Add/Remove/Save/Reload workflow; the exact two-key Mission Planner JSON schema, independent malformed fallback, validation rules, built-in/custom resolution and seven-label normalization are implemented. PLAN command choices, existing row names and selected-command headers refresh without mission undo state, unknown numeric commands remain lossless in the delegate, and the shared trusted catalog is exposed to QML; screenshot diff and cross-platform package evidence remain
CONFIG	GCSViews/ConfigurationView/MavFTPUIView.axaml	src/ui/configuration/MavFTPUIView.*;src/comm/MavFtpProtocol.*;src/comm/MavFtpService.*;src/comm/LinkManager.*;src/ui/configuration/ConfigView.*;tests/test_mavftpprotocol.cpp;tests/test_mavftpservice.cpp;tests/test_mavftpuiview.cpp	in-progress	The CONFIG route reuses the same non-empty browser and application-owned exact-target transaction service as SETUP. MP10 list/upload/download/delete/mkdir plus explicit cancel are implemented with atomic QSaveFile downloads, collision-avoiding names, a replacement warning and upload CRC verification after session flush; exclusive no-replace local creation, streaming/burst transfer beyond the current 64 MiB bound, capability gating, live hardware and reference screenshot evidence remain
CONFIG	GCSViews/ConfigurationView/ConfigUserDefinedView.axaml	src/ui/configuration/ConfigUserDefinedView.{h,cpp}; src/ui/configuration/ConfigUserDefinedViewModel.{h,cpp}; tests/test_configuserdefinedview.cpp	in-progress	Qt CONFIG route, exact defaults/order/layout, durable custom-list persistence, metadata enum/numeric editors and target/value-correlated writes are covered; reference screenshots, cross-platform and live-vehicle validation remain
CONFIG	GCSViews/ConfigurationView/WarningManagerView.axaml		not-started	Supporting warning manager (not a direct CONFIG route): rule list, editor, severity, speech/notification and persistence match
CONFIG	GCSViews/ConfigurationView/ConfigParamLoadingView.axaml	src/ui/configuration/ConfigParamLoadingView.{h,cpp}; src/ui/configuration/ConfigParamLoadingViewModel.{h,cpp}; tests/test_backstageview.cpp	in-progress	Dedicated Qt overlay/view-model match the reference status, determinate progress/count, Stop/Retry actions, Full Parameter List bypass and Backstage gating; live target switching, screenshots and cross-platform validation remain
